eptatretus_burgeri ENSEBUG00000015595
petromyzon_marinus ENSPMAG00000005964
pogona_vitticeps ENSPVIG00000001331
anolis_carolinensis ENSACAG00000014497
notechis_scutatus ENSNSUG00000014016
salvator_merianae ENSSMRG00000019849
sphenodon_punctatus ENSSPUG00000014621
apteryx_owenii ENSAOWG00000005026
apteryx_haastii ENSAHAG00000015211
apteryx_rowi ENSARWG00000015978
dromaius_novaehollandiae ENSDNVG00000000006
nothoprocta_perdicaria ENSNPEG00000015062
meleagris_gallopavo ENSMGAG00000006045
coturnix_japonica ENSCJPG00005013817
gallus_gallus ENSGALG00000042197
numida_meleagris ENSNMEG00000018435
anas_platyrhynchos_platyrhynchos ENSAPLG00000011060
anser_brachyrhynchus ENSABRG00000019259
calidris_pugnax ENSCPUG00000012407
calidris_pygmaea ENSCPGG00000014119
melopsittacus_undulatus ENSMUNG00000015355
manacus_vitellinus ENSMVIG00005017666
lepidothrix_coronata ENSLCOG00000003977
zonotrichia_albicollis ENSZALG00000014591
junco_hyemalis ENSJHYG00000005752
serinus_canaria ENSSCAG00000003914
lonchura_striata_domestica ENSLSDG00000008003
taeniopygia_guttata ENSTGUG00000010903
parus_major ENSPMJG00000008230
cyanistes_caeruleus ENSCCEG00000013696
ficedula_albicollis ENSFALG00000004447
crocodylus_porosus ENSCPRG00005011924
chelonoidis_abingdonii ENSCABG00000008034
gopherus_agassizii ENSGAGG00000024445
chrysemys_picta_bellii ENSCPBG00000020444
pelodiscus_sinensis ENSPSIG00000015923
phascolarctos_cinereus ENSPCIG00000020407
notamacropus_eugenii ENSMEUG00000011859
sarcophilus_harrisii ENSSHAG00000010435
monodelphis_domestica ENSMODG00000011392
sorex_araneus ENSSARG00000013732
sorex_araneus ENSSARG00000012091
erinaceus_europaeus ENSEEUG00000014042
pteropus_vampyrus ENSPVAG00000007799
ursus_americanus ENSUAMG00000008591
ursus_maritimus ENSUMAG00000019057
ailuropoda_melanoleuca ENSAMEG00000012139
neovison_vison ENSNVIG00000001471
mustela_putorius_furo ENSMPUG00000012358
canis_lupus_dingo ENSCAFG00020006787
canis_lupus_familiaris ENSCAFG00000009325
vulpes_vulpes ENSVVUG00000027257
panthera_pardus ENSPPRG00000020791
panthera_tigris_altaica ENSPTIG00000009891
felis_catus ENSFCAG00000005426
capra_hircus ENSCHIG00000016603
ovis_aries ENSOARG00000016410
bos_mutus ENSBMUG00000022629
bos_taurus ENSBTAG00000003002
bison_bison_bison ENSBBBG00000022723
tursiops_truncatus ENSTTRG00000010414
sus_scrofa ENSSSCG00000016036
vicugna_pacos ENSVPAG00000011407
equus_caballus ENSECAG00000010710
equus_asinus_asinus ENSEASG00005021102
castor_canadensis ENSCCNG00000011436
dipodomys_ordii ENSDORG00000011408
mus_spicilegus ENSMSIG00000017900
mus_musculus ENSMUSG00000025995
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0014911
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014107
mus_pahari MGP_PahariEiJ_G0027351
rattus_norvegicus ENSRNOG00000003825
meriones_unguiculatus ENSMUGG00000013183
peromyscus_maniculatus_bairdii ENSPEMG00000017789
microtus_ochrogaster ENSMOCG00000000741
cricetulus_griseus_chok1gshd ENSCGRG00001013929
cricetulus_griseus_crigri ENSCGRG00000001800
cricetulus_griseus_crigri-picr ENSCGRG00015028727
mesocricetus_auratus ENSMAUG00000012373
nannospalax_galili ENSNGAG00000015062
jaculus_jaculus ENSJJAG00000021588
chinchilla_lanigera ENSCLAG00000011412
octodon_degus ENSODEG00000010890
cavia_porcellus ENSCPOG00000013382
cavia_aperea ENSCAPG00000000202
heterocephalus_glaber_female ENSHGLG00000011577
heterocephalus_glaber_male ENSHGLG00100003773
fukomys_damarensis ENSFDAG00000014229
urocitellus_parryii ENSUPAG00010023104
ictidomys_tridecemlineatus ENSSTOG00000013166
spermophilus_dauricus ENSSDAG00000016789
marmota_marmota_marmota ENSMMMG00000009217
oryctolagus_cuniculus ENSOCUG00000011450
ochotona_princeps ENSOPRG00000005528
pan_troglodytes ENSPTRG00000012730
pan_paniscus ENSPPAG00000004220
homo_sapiens ENSG00000115368
gorilla_gorilla ENSGGOG00000007593
pongo_abelii ENSPPYG00000013013
nomascus_leucogenys ENSNLEG00000006569
piliocolobus_tephrosceles ENSPTEG00000021851
colobus_angolensis_palliatus ENSCANG00000031367
rhinopithecus_roxellana ENSRROG00000032122
rhinopithecus_bieti ENSRBIG00000036742
cercocebus_atys ENSCATG00000037980
mandrillus_leucophaeus ENSMLEG00000041269
theropithecus_gelada ENSTGEG00000027725
papio_anubis ENSPANG00000000758
macaca_fascicularis ENSMFAG00000039326
macaca_mulatta ENSMMUG00000011080
macaca_nemestrina ENSMNEG00000031383
chlorocebus_sabaeus ENSCSAG00000012401
cebus_capucinus ENSCCAG00000036257
saimiri_boliviensis_boliviensis ENSSBOG00000019714
callithrix_jacchus ENSCJAG00000005427
aotus_nancymaae ENSANAG00000028179
carlito_syrichta ENSTSYG00000006804
prolemur_simus ENSPSMG00000004614
microcebus_murinus ENSMICG00000000797
propithecus_coquereli ENSPCOG00000016437
otolemur_garnettii ENSOGAG00000010745
tupaia_belangeri ENSTBEG00000014495
choloepus_hoffmanni ENSCHOG00000005140
dasypus_novemcinctus ENSDNOG00000002612
loxodonta_africana ENSLAFG00000010000
procavia_capensis ENSPCAG00000010508
echinops_telfairi ENSETEG00000020121
myotis_lucifugus ENSMLUG00000017662
ornithorhynchus_anatinus ENSOANG00000009607
ornithorhynchus_anatinus ENSOANG00000019855
xenopus_tropicalis ENSXETG00000009873
latimeria_chalumnae ENSLACG00000012348
maylandia_zebra ENSMZEG00005014322
pundamilia_nyererei ENSPNYG00000011767
astatotilapia_calliptera ENSACLG00000002025
haplochromis_burtoni ENSHBUG00000023108
oreochromis_niloticus ENSONIG00000016827
amphilophus_citrinellus ENSACIG00000005615
oryzias_latipes ENSORLG00000015233
oryzias_latipes ENSORLG00020004487
oryzias_latipes_asm223469v1 ENSORLG00015000700
oryzias_melastigma ENSOMEG00000022419
tetraodon_nigroviridis ENSTNIG00000017859
tetraodon_nigroviridis ENSTNIG00000002145
takifugu_rubripes ENSTRUG00000010797
hippocampus_comes ENSHCOG00000002353
cynoglossus_semilaevis ENSCSEG00000016659
labrus_bergylta ENSLBEG00000027983
gasterosteus_aculeatus ENSGACG00000002705
mola_mola ENSMMOG00000019298
seriola_lalandi_dorsalis ENSSLDG00000014912
seriola_dumerili ENSSDUG00000007215
scophthalmus_maximus ENSSMAG00000018077
amphiprion_ocellaris ENSAOCG00000024005
amphiprion_percula ENSAPEG00000003696
acanthochromis_polyacanthus ENSAPOG00000015692
stegastes_partitus ENSSPAG00000000796
monopterus_albus ENSMALG00000008534
mastacembelus_armatus ENSMAMG00000010530
anabas_testudineus ENSATEG00000008712
xiphophorus_maculatus ENSXMAG00000005811
xiphophorus_couchianus ENSXCOG00000015384
poecilia_formosa ENSPFOG00000000605
poecilia_mexicana ENSPMEG00000008193
poecilia_latipinna ENSPLAG00000013286
fundulus_heteroclitus ENSFHEG00000010436
cyprinodon_variegatus ENSCVAG00000014942
kryptolebias_marmoratus ENSKMAG00000016088
periophthalmus_magnuspinnatus ENSPMGG00000000597
gadus_morhua ENSGMOG00000008286
esox_lucius ENSELUG00000013925
astyanax_mexicanus ENSAMXG00000018606
pygocentrus_nattereri ENSPNAG00000020847
ictalurus_punctatus ENSIPUG00000008614
danio_rerio ENSDARG00000040730
scleropages_formosus ENSSFOG00015007594
paramormyrops_kingsleyae ENSPKIG00000009219
lepisosteus_oculatus ENSLOCG00000008719
ciona_intestinalis ENSCING00000001993
ciona_savignyi ENSCSAVG00000004402
