apteryx_rowi ENSARWG00000001024
apteryx_owenii ENSAOWG00000010852
apteryx_haastii ENSAHAG00000000142
nothoprocta_perdicaria ENSNPEG00000012589
dromaius_novaehollandiae ENSDNVG00000016899
gallus_gallus ENSGALG00000017220
meleagris_gallopavo ENSMGAG00000015206
coturnix_japonica ENSCJPG00005003982
numida_meleagris ENSNMEG00000019703
anser_brachyrhynchus ENSABRG00000022716
anas_platyrhynchos_platyrhynchos ENSAPLG00000024522
calidris_pugnax ENSCPUG00000003636
calidris_pugnax ENSCPUG00000013172
calidris_pygmaea ENSCPGG00000006910
melopsittacus_undulatus ENSMUNG00000002817
manacus_vitellinus ENSMVIG00005012341
lepidothrix_coronata ENSLCOG00000014082
serinus_canaria ENSSCAG00000003597
lonchura_striata_domestica ENSLSDG00000000110
zonotrichia_albicollis ENSZALG00000016841
junco_hyemalis ENSJHYG00000017895
taeniopygia_guttata ENSTGUG00000012851
cyanistes_caeruleus ENSCCEG00000018465
cyanistes_caeruleus ENSCCEG00000023975
parus_major ENSPMJG00000017879
ficedula_albicollis ENSFALG00000000293
crocodylus_porosus ENSCPRG00005015361
gopherus_agassizii ENSGAGG00000001068
chelonoidis_abingdonii ENSCABG00000011647
chrysemys_picta_bellii ENSCPBG00000019632
pelodiscus_sinensis ENSPSIG00000004198
anolis_carolinensis ENSACAG00000014587
pogona_vitticeps ENSPVIG00000007768
notechis_scutatus ENSNSUG00000018133
salvator_merianae ENSSMRG00000009830
cercocebus_atys ENSCATG00000042343
mandrillus_leucophaeus ENSMLEG00000039639
theropithecus_gelada ENSTGEG00000010169
papio_anubis ENSPANG00000018408
chlorocebus_sabaeus ENSCSAG00000003431
macaca_fascicularis ENSMFAG00000039236
macaca_nemestrina ENSMNEG00000040024
rhinopithecus_roxellana ENSRROG00000036707
rhinopithecus_bieti ENSRBIG00000031274
colobus_angolensis_palliatus ENSCANG00000035657
piliocolobus_tephrosceles ENSPTEG00000034886
pan_troglodytes ENSPTRG00000032462
pan_paniscus ENSPPAG00000034322
homo_sapiens ENSG00000166012
gorilla_gorilla ENSGGOG00000028407
pongo_abelii ENSPPYG00000003774
nomascus_leucogenys ENSNLEG00000007094
saimiri_boliviensis_boliviensis ENSSBOG00000027735
cebus_capucinus ENSCCAG00000018289
callithrix_jacchus ENSCJAG00000003782
aotus_nancymaae ENSANAG00000022083
carlito_syrichta ENSTSYG00000014258
prolemur_simus ENSPSMG00000021588
microcebus_murinus ENSMICG00000034947
propithecus_coquereli ENSPCOG00000018649
otolemur_garnettii ENSOGAG00000002521
otolemur_garnettii ENSOGAG00000029538
castor_canadensis ENSCCNG00000015085
castor_canadensis ENSCCNG00000016097
mus_musculus ENSMUSG00000031939
mus_spicilegus ENSMSIG00000016165
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031796
mus_pahari MGP_PahariEiJ_G0014672
rattus_norvegicus ENSRNOG00000010921
meriones_unguiculatus ENSMUGG00000026798
cricetulus_griseus_crigri ENSCGRG00000012474
cricetulus_griseus_crigri-picr ENSCGRG00015002922
cricetulus_griseus_chok1gshd ENSCGRG00001004962
mesocricetus_auratus ENSMAUG00000002515
peromyscus_maniculatus_bairdii ENSPEMG00000023691
microtus_ochrogaster ENSMOCG00000014011
chinchilla_lanigera ENSCLAG00000014698
octodon_degus ENSODEG00000002225
heterocephalus_glaber_female ENSHGLG00000008795
heterocephalus_glaber_male ENSHGLG00100006042
fukomys_damarensis ENSFDAG00000010809
cavia_porcellus ENSCPOG00000002426
urocitellus_parryii ENSUPAG00010001478
spermophilus_dauricus ENSSDAG00000010977
marmota_marmota_marmota ENSMMMG00000004115
ictidomys_tridecemlineatus ENSSTOG00000030516
oryctolagus_cuniculus ENSOCUG00000001096
oryctolagus_cuniculus ENSOCUG00000027060
oryctolagus_cuniculus ENSOCUG00000027568
ochotona_princeps ENSOPRG00000005031
tupaia_belangeri ENSTBEG00000005340
ursus_maritimus ENSUMAG00000006891
ursus_americanus ENSUAMG00000026880
ailuropoda_melanoleuca ENSAMEG00000012858
neovison_vison ENSNVIG00000005172
mustela_putorius_furo ENSMPUG00000010659
canis_lupus_familiaris ENSCAFG00000013572
canis_lupus_familiaris ENSCAFG00000002945
canis_lupus_familiaris ENSCAFG00000004233
canis_lupus_familiaris ENSCAFG00000025156
canis_lupus_dingo ENSCAFG00020021954
canis_lupus_dingo ENSCAFG00020024193
vulpes_vulpes ENSVVUG00000006699
vulpes_vulpes ENSVVUG00000001595
canis_lupus_dingo ENSCAFG00020000841
panthera_pardus ENSPPRG00000000132
panthera_tigris_altaica ENSPTIG00000019674
felis_catus ENSFCAG00000012473
equus_caballus ENSECAG00000017850
equus_asinus_asinus ENSEASG00005012293
capra_hircus ENSCHIG00000026408
ovis_aries ENSOARG00000002155
bos_mutus ENSBMUG00000017333
bos_taurus ENSBTAG00000003545
bison_bison_bison ENSBBBG00000013429
vicugna_pacos ENSVPAG00000009321
tursiops_truncatus ENSTTRG00000001139
sus_scrofa ENSSSCG00000038682
myotis_lucifugus ENSMLUG00000011431
myotis_lucifugus ENSMLUG00000017209
pteropus_vampyrus ENSPVAG00000005521
choloepus_hoffmanni ENSCHOG00000013436
dasypus_novemcinctus ENSDNOG00000041284
loxodonta_africana ENSLAFG00000023200
echinops_telfairi ENSETEG00000020222
phascolarctos_cinereus ENSPCIG00000003418
sarcophilus_harrisii ENSSHAG00000005874
monodelphis_domestica ENSMODG00000008546
ornithorhynchus_anatinus ENSOANG00000011713
xenopus_tropicalis ENSXETG00000026163
latimeria_chalumnae ENSLACG00000016662
