drosophila_melanogaster FBgn0026634
caenorhabditis_elegans_strain_n2 WBGene00000585
labrus_bergylta ENSLBEG00000021885
gasterosteus_aculeatus ENSGACG00000009756
mola_mola ENSMMOG00000008160
seriola_lalandi_dorsalis ENSSLDG00000016487
seriola_dumerili ENSSDUG00000016415
scophthalmus_maximus ENSSMAG00000019456
mastacembelus_armatus ENSMAMG00000016952
monopterus_albus ENSMALG00000018661
anabas_testudineus ENSATEG00000008055
takifugu_rubripes ENSTRUG00000010527
tetraodon_nigroviridis ENSTNIG00000017041
cynoglossus_semilaevis ENSCSEG00000002932
amphiprion_ocellaris ENSAOCG00000014524
amphiprion_percula ENSAPEG00000006760
acanthochromis_polyacanthus ENSAPOG00000003040
stegastes_partitus ENSSPAG00000011161
maylandia_zebra ENSMZEG00005027445
astatotilapia_calliptera ENSACLG00000017690
pundamilia_nyererei ENSPNYG00000003651
haplochromis_burtoni ENSHBUG00000016708
neolamprologus_brichardi ENSNBRG00000015911
oreochromis_niloticus ENSONIG00000000541
amphilophus_citrinellus ENSACIG00000005711
xiphophorus_maculatus ENSXMAG00000018269
xiphophorus_couchianus ENSXCOG00000009921
poecilia_mexicana ENSPMEG00000010934
poecilia_formosa ENSPFOG00000017961
poecilia_latipinna ENSPLAG00000007477
poecilia_reticulata ENSPREG00000011315
gambusia_affinis ENSGAFG00000011943
fundulus_heteroclitus ENSFHEG00000021340
cyprinodon_variegatus ENSCVAG00000019321
kryptolebias_marmoratus ENSKMAG00000020925
oryzias_melastigma ENSOMEG00000009050
oryzias_melastigma ENSOMEG00000022046
oryzias_latipes_asm223469v1 ENSORLG00015014705
oryzias_latipes ENSORLG00000005545
oryzias_latipes ENSORLG00020009716
periophthalmus_magnuspinnatus ENSPMGG00000014761
hippocampus_comes ENSHCOG00000017929
gadus_morhua ENSGMOG00000018423
esox_lucius ENSELUG00000014500
pygocentrus_nattereri ENSPNAG00000015354
astyanax_mexicanus ENSAMXG00000009535
ictalurus_punctatus ENSIPUG00000014989
danio_rerio ENSDARG00000004037
scleropages_formosus ENSSFOG00015015504
paramormyrops_kingsleyae ENSPKIG00000005893
cynoglossus_semilaevis ENSCSEG00000003065
lepisosteus_oculatus ENSLOCG00000015450
mesocricetus_auratus ENSMAUG00000018065
microtus_ochrogaster ENSMOCG00000017129
nannospalax_galili ENSNGAG00000013046
jaculus_jaculus ENSJJAG00000016053
spermophilus_dauricus ENSSDAG00000011453
octodon_degus ENSODEG00000005060
mustela_putorius_furo ENSMPUG00000001910
erinaceus_europaeus ENSEEUG00000009729
sorex_araneus ENSSARG00000008090
equus_caballus ENSECAG00000010075
equus_asinus_asinus ENSEASG00005012075
ursus_maritimus ENSUMAG00000005115
ursus_americanus ENSUAMG00000020012
ailuropoda_melanoleuca ENSAMEG00000009660
neovison_vison ENSNVIG00000021555
mustela_putorius_furo ENSMPUG00000004611
canis_lupus_dingo ENSCAFG00020027211
canis_lupus_familiaris ENSCAFG00000012080
vulpes_vulpes ENSVVUG00000006773
panthera_tigris_altaica ENSPTIG00000013545
panthera_pardus ENSPPRG00000012840
felis_catus ENSFCAG00000013537
myotis_lucifugus ENSMLUG00000008642
pteropus_vampyrus ENSPVAG00000011366
bos_mutus ENSBMUG00000007000
bos_taurus ENSBTAG00000020314
bison_bison_bison ENSBBBG00000009555
ovis_aries ENSOARG00000003101
capra_hircus ENSCHIG00000007135
tursiops_truncatus ENSTTRG00000003942
sus_scrofa ENSSSCG00000010183
pan_troglodytes ENSPTRG00000002095
pan_paniscus ENSPPAG00000041497
homo_sapiens ENSG00000135775
gorilla_gorilla ENSGGOG00000010454
pongo_abelii ENSPPYG00000000121
nomascus_leucogenys ENSNLEG00000001549
colobus_angolensis_palliatus ENSCANG00000012784
piliocolobus_tephrosceles ENSPTEG00000034010
rhinopithecus_roxellana ENSRROG00000037474
rhinopithecus_bieti ENSRBIG00000032532
papio_anubis ENSPANG00000009759
theropithecus_gelada ENSTGEG00000010626
mandrillus_leucophaeus ENSMLEG00000030518
cercocebus_atys ENSCATG00000013816
macaca_fascicularis ENSMFAG00000036591
macaca_mulatta ENSMMUG00000005877
macaca_nemestrina ENSMNEG00000028338
chlorocebus_sabaeus ENSCSAG00000010573
cebus_capucinus ENSCCAG00000027158
saimiri_boliviensis_boliviensis ENSSBOG00000021187
callithrix_jacchus ENSCJAG00000011909
aotus_nancymaae ENSANAG00000023360
carlito_syrichta ENSTSYG00000007527
propithecus_coquereli ENSPCOG00000020732
microcebus_murinus ENSMICG00000004171
prolemur_simus ENSPSMG00000004877
otolemur_garnettii ENSOGAG00000011283
oryctolagus_cuniculus ENSOCUG00000000472
ochotona_princeps ENSOPRG00000016519
tupaia_belangeri ENSTBEG00000017731
heterocephalus_glaber_male ENSHGLG00100000366
heterocephalus_glaber_female ENSHGLG00000017776
fukomys_damarensis ENSFDAG00000014207
cavia_porcellus ENSCPOG00000013400
cavia_aperea ENSCAPG00000000413
chinchilla_lanigera ENSCLAG00000005818
urocitellus_parryii ENSUPAG00010000010
spermophilus_dauricus ENSSDAG00000011437
ictidomys_tridecemlineatus ENSSTOG00000015463
marmota_marmota_marmota ENSMMMG00000011637
castor_canadensis ENSCCNG00000001363
dipodomys_ordii ENSDORG00000011296
mus_spicilegus ENSMSIG00000009470
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032823
mus_musculus ENSMUSG00000031979
