petromyzon_marinus ENSPMAG00000000684
eptatretus_burgeri ENSEBUG00000002498
paramormyrops_kingsleyae ENSPKIG00000001620
scleropages_formosus ENSSFOG00015013984
scleropages_formosus ENSSFOG00015011349
paramormyrops_kingsleyae ENSPKIG00000022541
pygocentrus_nattereri ENSPNAG00000017032
astyanax_mexicanus ENSAMXG00000043933
ictalurus_punctatus ENSIPUG00000004208
danio_rerio ENSDARG00000003153
esox_lucius ENSELUG00000016262
labrus_bergylta ENSLBEG00000024494
gasterosteus_aculeatus ENSGACG00000015869
tetraodon_nigroviridis ENSTNIG00000009312
takifugu_rubripes ENSTRUG00000017953
mola_mola ENSMMOG00000016237
xiphophorus_maculatus ENSXMAG00000014172
gambusia_affinis ENSGAFG00000017473
poecilia_latipinna ENSPLAG00000016420
poecilia_reticulata ENSPREG00000001285
poecilia_mexicana ENSPMEG00000022481
poecilia_formosa ENSPFOG00000001419
cyprinodon_variegatus ENSCVAG00000009683
fundulus_heteroclitus ENSFHEG00000011485
kryptolebias_marmoratus ENSKMAG00000008705
oryzias_latipes ENSORLG00020007635
oryzias_latipes ENSORLG00000008789
oryzias_latipes_asm223469v1 ENSORLG00015005300
oryzias_melastigma ENSOMEG00000002368
amphiprion_percula ENSAPEG00000013434
amphiprion_ocellaris ENSAOCG00000004820
acanthochromis_polyacanthus ENSAPOG00000022515
stegastes_partitus ENSSPAG00000010060
maylandia_zebra ENSMZEG00005013153
astatotilapia_calliptera ENSACLG00000004389
pundamilia_nyererei ENSPNYG00000014773
haplochromis_burtoni ENSHBUG00000015015
neolamprologus_brichardi ENSNBRG00000009313
oreochromis_niloticus ENSONIG00000005734
amphilophus_citrinellus ENSACIG00000002809
scophthalmus_maximus ENSSMAG00000000646
cynoglossus_semilaevis ENSCSEG00000001524
anabas_testudineus ENSATEG00000002304
mastacembelus_armatus ENSMAMG00000020931
monopterus_albus ENSMALG00000000627
seriola_dumerili ENSSDUG00000019001
seriola_lalandi_dorsalis ENSSLDG00000018315
hippocampus_comes ENSHCOG00000004360
periophthalmus_magnuspinnatus ENSPMGG00000002636
gadus_morhua ENSGMOG00000002872
esox_lucius ENSELUG00000011938
lepisosteus_oculatus ENSLOCG00000008005
cyanistes_caeruleus ENSCCEG00000004445
parus_major ENSPMJG00000000963
ficedula_albicollis ENSFALG00000007561
lonchura_striata_domestica ENSLSDG00000000941
taeniopygia_guttata ENSTGUG00000006599
junco_hyemalis ENSJHYG00000015501
lepidothrix_coronata ENSLCOG00000015278
manacus_vitellinus ENSMVIG00005009408
